"section_id","user_id","down_vote"
83,39070,1
119,39005,1
122,52,1
169,39118,1
169,52,1
180,39071,1
164,35656,1
165,22902,1
211,52,1
217,52,1
217,11566,1
217,38060,1
226,52,1
226,11566,1
226,39118,1
239,52,1
241,52,1
241,11566,1
291,39247,1
293,38905,1
292,38905,1
293,39247,1
295,39230,1
290,39234,1
294,39230,1
292,70647,1
296,70683,1
297,70637,1
297,39235,1
290,70637,1
297,70640,1
295,70637,1
295,70682,1
297,70647,1
290,39036,1
294,39283,1
292,70638,1
294,70638,1
297,39282,1
297,39033,1
294,39282,1
294,38901,1
295,39282,1
298,39235,1
291,70644,1
294,39037,1
301,39247,1
296,38903,1
291,70681,1
295,38903,1
299,39233,1
303,39233,1
309,70755,1
303,70760,1
302,70759,1
308,64783,1
297,70780,1
295,70773,1
301,70762,1
307,70931,1
298,70761,1
296,61180,1
297,70743,1
305,70697,1
302,70928,1
307,70753,1
301,70013,1
310,70753,1
302,70784,1
293,70762,1
306,69919,1
309,70920,1
309,69919,1
298,70928,1
307,70780,1
293,70031,1
296,70098,1
307,69587,1
305,70734,1
297,69587,1
307,70924,1
296,70929,1
295,61180,1
311,70761,1
309,70932,1
295,65986,1
298,70759,1
309,70786,1
297,70786,1
296,70784,1
295,70743,1
295,70930,1
312,39230,1
300,70647,1
302,70732,1
306,70683,1
302,70031,1
300,70774,1
299,70774,1
295,70774,1
312,70753,1
296,70632,1
301,70632,1
298,70732,1
304,38901,1
296,70968,1
299,39232,1
296,38901,1
311,38903,1
314,70754,1
304,39232,1
314,70956,1
302,70636,1
312,70755,1
307,70971,1
302,70644,1
306,70652,1
301,70644,1
309,38906,1
303,70969,1
309,70973,1
299,39285,1
301,39282,1
305,39247,1
300,39033,1
303,70638,1
313,70640,1
302,39037,1
309,70097,1
313,70930,1
309,70636,1
314,70650,1
311,70968,1
297,70931,1
313,39282,1
297,70638,1
298,70757,1
308,70955,1
307,70955,1
303,70918,1
308,70761,1
312,70761,1
311,70739,1
313,70958,1
300,70932,1
300,68133,1
308,68133,1
303,70751,1
311,69492,1
298,70786,1
300,70780,1
313,70787,1
307,70098,1
302,39234,1
308,39234,1
314,70098,1
307,70918,1
309,39285,1
313,39285,1
314,70787,1
314,69385,1
308,70640,1
314,70086,1
309,39234,1
310,70734,1
304,70736,1
304,70640,1
312,61180,1
301,39284,1
310,70775,1
298,39284,1
303,39235,1
312,70920,1
307,70755,1
308,39033,1
305,70971,1
306,39247,1
309,39284,1
307,70697,1
313,70267,1
313,39034,1
306,69385,1
313,66967,1
311,70786,1
313,64783,1
309,70757,1
310,38901,1
313,70959,1
313,38901,1
314,70760,1
314,70923,1
313,70784,1
312,70637,1
315,70697,1
315,70751,1
315,39032,1
315,39230,1
190,70461,1
317,70930,1
317,70267,1
315,39232,1
316,69492,1
318,70637,1
315,70971,1
324,70777,1
321,70968,1
316,70031,1
315,65012,1
323,39283,1
324,39283,1
311,70640,1
320,70956,1
295,39234,1
324,70930,1
306,70681,1
301,70681,1
317,61180,1
321,70788,1
320,70098,1
316,64783,1
324,70775,1
323,70632,1
325,70650,1
308,70930,1
317,39033,1
297,70632,1
298,39039,1
322,70754,1
323,65012,1
301,70972,1
314,38905,1
297,70973,1
296,70732,1
318,39247,1
300,70761,1
321,70013,1
324,70972,1
309,65986,1
304,70918,1
323,70754,1
302,39285,1
324,69492,1
325,70267,1
314,70013,1
328,38903,1
323,70755,1
326,70971,1
306,70784,1
310,70031,1
320,39034,1
315,70755,1
321,70031,1
313,69841,1
319,70652,1
303,70929,1
307,65986,1
322,70775,1
308,65986,1
320,70932,1
303,70923,1
311,70753,1
300,70759,1
304,66967,1
324,39037,1
314,70759,1
322,39037,1
329,39037,1
325,70968,1
317,70678,1
331,39232,1
331,64783,1
307,64783,1
283,70923,1
316,38903,1
277,70955,1
250,70958,1
296,70777,1
323,70739,1
259,70682,1
331,71111,1
258,71111,1
300,70928,1
260,39285,1
294,70920,1
251,70920,1
325,70774,1
288,38906,1
284,39284,1
262,39032,1
316,39032,1
308,70743,1
312,70743,1
329,70786,1
327,70732,1
275,70757,1
308,69587,1
282,70650,1
304,70650,1
285,38901,1
276,70773,1
311,70267,1
320,70739,1
281,70931,1
317,70760,1
326,70739,1
282,70739,1
287,70760,1
322,70973,1
290,70973,1
2706,71111,1
1545,70788,1
13801,70644,1
46266,70761,1
1789,70755,1
11370,39034,1
15763,70921,1
9958,70921,1
32774,39036,1
40493,70761,1
1800,38906,1
1902,39234,1
13146,39034,1
2102,39034,1
