"id","question_id","user","text","time","correct"
2,3,52,"&lt;p&gt;Насколько мне известно там есть специальные резервуары в которые набирается воздух. Также имеются специальные генераторы кислорода, которые используются в аварийных ситуациях или когда подводной лодке нужно очень долгое время находится под водой и всплыть нет возможности (во время боевого задания например)&amp;nbsp;&lt;/p&gt;",1455254752,
6,6,52,"&lt;p&gt;&lt;strong&gt;DPO - Dynamic Postioning Operator&lt;/strong&gt;, JDPO и SDPO соответсвенно Junior и Senior Dynamic Positioning Operator.&lt;/p&gt;
&lt;p&gt;&lt;strong&gt;AHTS - Anchor Handling Tug Supply&lt;/strong&gt; - многофункциональные буксиры, они же якорезаводчики.&amp;nbsp;&lt;/p&gt;
&lt;p&gt;&lt;strong&gt;Jack up Rig&lt;/strong&gt;&amp;nbsp;/&amp;nbsp;&lt;strong&gt;barge&lt;/strong&gt;&amp;nbsp;&amp;ndash; Самоподъемная установка [платформа] / баржа&amp;nbsp; - представляет собой мобильную платформу, способную устойчиво стоять на морском дне благодаря выдвижным опорам.&lt;/p&gt;
&lt;p&gt;больше информации можно найти здесь&amp;nbsp;&lt;/p&gt;
&lt;p&gt;&lt;a href=&quot;http://offshore-industry.net/fleet/jack_up.htm&quot; target=&quot;_blank&quot;&gt;http://offshore-industry.net&lt;/a&gt;&lt;/p&gt;
&lt;p&gt;&amp;nbsp;&lt;/p&gt;",1456404025,
60,20,52,&lt;p&gt;Medical First Aid и Advanced Medical Care&lt;/p&gt;,1456818949,
147,76,52,"&lt;p&gt;Даа у меня тоже как то ноут сломался на лодке, ну я купил еще один. А старый вез домой на ремонт и ниче. Думаю проблем с перевозкой 2х ноутов быть не должно.&lt;/p&gt;",1458469775,1
210,142,52,"&lt;p&gt;Если во время рейса или после списания с судна есть возможность побродить по городу и что нибудь выбрать домой, то я обязательно так и делаю) очень много всяких экзотических товаров есть в разных странах чего уж точно потом не найдешь дома. В индии например очень классные ароматные масла, также там есть драгоценные камни, Египет славится своими кальянами то что можно взять там за копейки у нас дома стоит нереальных денег.&amp;nbsp;&lt;/p&gt;
&lt;p&gt;Но чаще всего приходится скупатся уже в дьюти фри, там конечно стандартный набор - &amp;nbsp;женщинам духи, мужикам бухло и всем остальным магнитики))&lt;/p&gt;",1460568412,1
213,151,52,"&lt;p&gt;Пока самым паспространенным действительно остается английский, другие языки только локально. То есть в германии лоцмана и портовые власти между собой общаются на немецком, в китае на китайском. Французский язык хоть и считается вторым международным, но пока практически мне нигде не попадался.&lt;/p&gt;",1460623562,1
214,149,52,"&lt;p style=&quot;text-align: center;&quot;&gt;Я не думаю что не остатся &quot;вне коллектива&quot; это не самая приоритетная задача на пароходе. Здесь самое главное как ты делаешь свою работу, насколько у тебя хорошие знания и опвт в своем деле, насколько ты испонительный. Из опыта скажу не стоит сразу по приезду привлекать к себе много внимания, веди себя скромно и уважительно, и буть как называется &quot;Хардворкер&quot; тогда поверь все у тебя будет хорошо&lt;/p&gt;",1460623852,1
215,150,52,"&lt;p&gt;Зависит от судовладельцев.&lt;/p&gt;
&lt;p&gt;В большинстве случаев все обходится обмоткой колючей проволоки и подготовкой цитадели. К тому же С декабря 2015 года High Risk Area в индийском океане сократили почти на треть в связи уменьшением количества нападений.&lt;/p&gt;
&lt;p&gt;Наем охраны дорогостоящее удовольствие и к тому же не является обязательным, кроме того все суда застрахованы так что судовладелец ничем не рискует. Охрану нужна только для защиты интересов экипажа. Так что если ваша компания все таки нанимает охрану, значит она хоть немного заботится о своих людях.&lt;/p&gt;",1460624239,
219,138,52,"&lt;p&gt;Если будешь знать правила МППСС да еще и на английском, считай ты прошел любое собеседование.&lt;/p&gt;",1460644324,
221,153,52,"&lt;p&gt;У нас как раз в последнем рейсе во время перехода из красного моря к мальдивам начали барахлить оба gps .&amp;nbsp;То ли из за слабого сигнала, то ли из за перегрева (сигнал пропадал каждый день с 10-11 утра и до 5-6 вечера, в самое жаркое время). То ли вояки глушили в этом регионе gps (пиратский район все таки). И в общем то говоря определялись мы в эти промежутки времени как раз по солнышку. В некоторых регионах мирового океана gps сигнал слабее, особенно там где суда редко ходят(вдали от общепринятых маршрутов). Так что такая ситуация не редкость.&lt;/p&gt;
&lt;p&gt;Кроме этого скажу что в этом году инспектора Port State Control решили усилить контроль в этом направлении и обязательно проверяют ведутся ли астронимческие наблюдения на судне, знания вахтенных помощников и прочее.&lt;/p&gt;",1460734518,1
