"id","user_id","section_id","comment","time"
74,52,45,"а что это за флаг такой ? &amp;quot;Евросоюза&amp;quot;, насколько я знаю в европе еще и налоги на моряков нехилые, в дании например налоги порядка  50%, так что нашим морякам еще очень даже повезло",1457111896
76,39032,48,"Очень интересный вопрос,хоть я и начинающий но знать хотелось бы.",1457623123
82,39036,40,"Существует прибор, в котором есть резервуар с мембраной, которая делит этот резервуар на две части, в одну часть заливается пресная вода, в другую часть соленая вода, при ихнем взаимодействии и вырабатывается чистая енергия.",1457624392
87,39034,11,Нужно заказать и оплатить услугу. Иметь хороший интернет вам будет выслан индивидуальный код доступа и инструкция,1457625844
94,52,48,а я к сожалению вообще на другом флоте работаю. Танкера газовозы...,1457969894
101,39283,84,это что брейн ринг ? я думал тут какие то полезные для работы вопросы будут,1458749868
118,52,164,Сварщиком хоть работали ?,1461149449
161,70461,189,"У меня послужная книжка сделана в Севастополе. Боялся, что будет недействительна пока территория оккупирована. Но украинские власти ее воспринимают.",1463602134
174,39171,191,"Для того что-бы стать 3мпом.  капитана, необходимо соответствующее образование и морская практика кадетом либо матросом. Это дает Вам право получить рабочий диплом, подтверждение к нему, нути рабочие сертификаты. Подробнее посмотрите в интернете конвенцию ПДМНВ. В ней изложены все критерии. &lt;br /&gt;Вы так же можете продолжать работать кадетом с документами 3ПКМ. Удачи",1463742627
180,71111,193,"Та не это несерьезно, рановато тебе еще чифом",1463926385
237,72493,495,"Дмитрий, Вы уже выяснили что-то про эту контору?",1472579314
240,73253,550,GПридумал ???? ,1473262382
242,73253,558,)))),1473330260
